id. Response ID,Year[Month Year...ate submitted]],Carmain,Previous Plug in HEVs,Previous BatteryEVs,Previous HybridEVs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Highest Level of Education,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual Vehicle MilesTraveled Estimate ,,,,,,,
PHASE_2.5_2891,2017,2017 Chevrolet Volt,0,0,1,,0,1,4,5.43,4,45,0,2,3428.571429,,,,,,,
PHASE_2.5_2892,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2893,2017,2016 Tesla Model S,1,0,0,75000,2.8,1,4,13.49,2,75,0,2,170334,,,,,,,
PHASE_2.5_2894,2017,2017 Chevrolet Volt,1,0,0,225000,2.66,1,3,5.26,4,45,0,2,8344.5,,,,,,,
PHASE_2.5_2895,2017,2016 Ford C-Max Energi,1,0,0,,0.87,1,3,11.61,2,65,1,5,10876,,,,,,,
PHASE_2.5_2896,2017,2016 Nissan Leaf,0,1,1,175000,2.77,1,3,22.07,3,55,0,3,14123.07692,,,,,,,
PHASE_2.5_2897,2017,2013 Toyota Prius Plug-in,0,0,0,75000,2.75,0,2,2.91,2,35,0,2,48300,,,,,,,
PHASE_2.5_2898,2017,2017 Nissan Leaf,0,0,1,75000,,1,4,7.62,2,55,1,3,4800,,,,,,,
PHASE_2.5_2899,,2015 Toyota Prius Plug-in,0,0,0,,,,,,4,45,0,3,,,,,,,,
PHASE_2.5_2900,2017,2016 Ford Focus,1,0,0,175000,-0.53,1,4,17.56,2,65,0,4,10000,,,,,,,
PHASE_2.5_2901,2017,2016 Chevrolet Volt,0,0,1,175000,2.68,1,4,,2,75,0,2,9450,,,,,,,
PHASE_2.5_2902,2017,2017 Chevrolet Volt,0,0,1,225000,2.68,1,4,25.23,3,65,0,4,19636.36364,,,,,,,
PHASE_2.5_2903,2017,2016 Nissan Leaf,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2904,2017,2017 Nissan Leaf,0,1,0,225000,1.53,1,4,10.7,5,45,0,2,12000,,,,,,,
PHASE_2.5_2905,2017,2017 Chevrolet Volt,0,0,1,75000,2.73,1,3,31.77,1,45,0,1,18085.6,,,,,,,
PHASE_2.5_2906,2017,2017 Toyota Mirai,1,0,0,125000,2.8,1,4,13.37,3,45,0,2,13268.4,,,,,,,
PHASE_2.5_2907,2017,2016 Nissan Leaf,0,0,0,50000,1.68,1,2,3.46,3,25,0,3,7062.857143,,,,,,,
PHASE_2.5_2908,2017,2017 Chevrolet Volt,1,0,0,225000,2.57,1,3,6.75,2,65,0,2,8400,,,,,,,
PHASE_2.5_2909,2017,2017 Chevrolet Volt,1,0,0,50000,,1,2,12.16,2,75,0,2,10017.33333,,,,,,,
PHASE_2.5_2910,2017,-1 -1 -1,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2911,,2016 Toyota Prius - Plug In,0,0,0,,,,,,2,35,0,2,,,,,,,,
PHASE_2.5_2912,2017,2015 Toyota Prius Plug-in,0,1,0,500000,1.33,1,3,3.73,5,25,0,4,14040,,,,,,,
PHASE_2.5_2913,,2014 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2914,2017,2014 Toyota Prius Plug-in,0,0,1,175000,,1,4,13.3,2,75,0,2,14166.66667,,,,,,,
PHASE_2.5_2916,2017,2015 Toyota Prius Plug-in,0,0,1,175000,1.15,1,4,17.06,2,35,1,2,26086.95652,,,,,,,
PHASE_2.5_2917,2017,2015 Toyota Prius Plug-in,0,0,0,125000,,,4,33.26,4,45,0,2,22804.28571,,,,,,,
PHASE_2.5_2918,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2919,2017,2015 Toyota Prius Plug-in,0,0,0,175000,2.59,1,3,3.64,2,55,0,2,8275.862069,,,,,,,
PHASE_2.5_2920,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2921,2017,2015 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2922,2017,2017 Hyundai Sonata Plug-in Hybrid,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2923,2017,2015 Toyota Prius Plug-in,0,0,1,275000,2.75,1,4,46.87,3,,0,3,24000,,,,,,,
PHASE_2.5_2924,2017,2016 Nissan Leaf,0,0,0,225000,2.48,1,4,21.05,3,55,0,5,10000,,,,,,,
PHASE_2.5_2925,2017,2015 Toyota Prius Plug-in,0,0,0,,,1,4,,2,35,0,2,12960,,,,,,,
PHASE_2.5_2927,2017,2015 Toyota Prius Plug-in,1,0,0,175000,0,0,4,11.12,1,35,0,1,17538.46154,,,,,,,
PHASE_2.5_2928,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2929,2017,2015 Toyota Prius Plug-in,0,0,0,75000,1.41,1,4,38.15,4,25,1,2,26086.95652,,,,,,,
PHASE_2.5_2930,2017,2015 Toyota Prius Plug-in,0,0,1,325000,2.9,1,4,,3,65,0,2,12480,,,,,,,
PHASE_2.5_2931,2017,2015 Toyota Prius Plug-in,0,0,0,,1.33,1,4,36.5,3,35,1,1,16804.8,,,,,,,
PHASE_2.5_2932,,2015 Toyota Prius Plug-in,0,0,1,,,,,9.98,2,35,1,1,,,,,,,,
PHASE_2.5_2933,2017,2015 Toyota Prius Plug-in,0,0,0,75000,1.88,1,4,24.85,5,45,1,2,141818.1818,,,,,,,
PHASE_2.5_2934,2017,2016 Ford C-Max Energi,0,0,0,125000,0,0,4,16.12,2,25,1,2,21450,,,,,,,
PHASE_2.5_2935,2017,2015 Toyota Prius Plug-in,0,0,0,325000,2.94,1,3,11,4,45,0,2,16800,,,,,,,
PHASE_2.5_2936,2017,2014 Toyota Prius Plug-in,0,0,1,125000,-3,0,4,6.74,2,55,0,2,15893.26829,,,,,,,
PHASE_2.5_2937,2017,2015 Toyota Prius Plug-in,0,0,1,325000,2.47,1,4,21.47,3,65,0,3,8689.655172,,,,,,,
PHASE_2.5_2938,2017,2016 Ford C-Max Energi,0,0,0,125000,0,0,3,24.35,2,35,,2,16500,,,,,,,
PHASE_2.5_2939,2017,2016 Ford C-Max Energi,0,0,0,275000,2.7,1,3,12.34,2,35,0,3,11142.85714,,,,,,,
PHASE_2.5_2940,2017,2014 Toyota Prius Plug-in,0,0,0,225000,1.06,1,4,15.41,2,45,0,2,13411.76471,,,,,,,
PHASE_2.5_2941,2017,2015 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2942,2017,2012 Toyota Prius Plug-in,0,0,1,325000,2.06,1,4,39.09,4,55,0,3,21290.32258,,,,,,,
PHASE_2.5_2943,2017,2017 Chevrolet Volt,0,0,0,125000,2.53,0,3,3.54,2,25,0,2,52000,,,,,,,
PHASE_2.5_2944,2017,2016 Nissan Leaf,0,1,0,75000,2.5,0,2,17.1,2,25,0,2,12000,,,,,,,
PHASE_2.5_2945,2017,2015 Toyota Prius Plug-in,0,0,1,75000,2.89,1,4,26.17,2,55,0,2,12938.57143,,,,,,,
PHASE_2.5_2946,2017,2015 Toyota Prius Plug-in,0,0,0,225000,1.48,0,4,14.64,3,35,1,2,15000,,,,,,,
PHASE_2.5_2947,2017,2017 Toyota Prius Prime,0,0,1,225000,1.39,1,4,18.09,3,65,1,4,9980,,,,,,,
PHASE_2.5_2948,2017,2017 Chevrolet Volt,,,,175000,2.49,0,4,1.64,1,35,0,1,10080,,,,,,,
PHASE_2.5_2949,,2015 Toyota Prius Plug-in,0,0,0,,,,,20.79,3,45,0,2,,,,,,,,
PHASE_2.5_2952,2017,2015 Toyota Prius Plug-in,0,0,0,175000,2.08,1,3,7.15,5,45,0,2,18620.68966,,,,,,,
PHASE_2.5_2953,2017,2017 Chevrolet Volt,0,0,1,225000,2.63,0,3,8.37,4,45,0,2,7846.153846,,,,,,,
PHASE_2.5_2954,2017,2017 Chevrolet Volt,0,0,0,225000,0,1,4,33.92,4,45,0,3,17142.85714,,,,,,,
PHASE_2.5_2955,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2956,,2015 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2957,2017,2015 Toyota Prius Plug-in,0,0,0,125000,-3,1,3,12.46,5,65,0,4,18947.36842,,,,,,,
PHASE_2.5_2958,2017,2017 Chevrolet Volt,0,0,0,75000,2.62,1,4,3.64,2,75,1,3,5757.818182,,,,,,,
PHASE_2.5_2959,2017,2016 Ford C-Max Energi,0,0,0,75000,2.78,1,3,2.31,3,35,1,1,16800,,,,,,,
PHASE_2.5_2960,2017,2015 Toyota Prius Plug-in,0,0,0,275000,1.16,0,4,3.21,2,35,0,2,7111.111111,,,,,,,
PHASE_2.5_2961,2017,2016 Toyota Prius,0,0,0,275000,1.35,1,4,20.14,4,55,1,5,15000,,,,,,,
PHASE_2.5_2962,,2016 BMW i3,0,0,0,,,,,10.52,2,45,0,2,,,,,,,,
PHASE_2.5_2963,2017,2015 Toyota Prius Plug-in,0,0,1,75000,2.77,1,3,10.61,2,55,0,1,20454.54545,,,,,,,
PHASE_2.5_2964,,2016 BMW i3,0,0,0,,-3,,,15.67,2,45,0,2,,,,,,,,
PHASE_2.5_2965,2017,2016 BMW i3,0,0,0,125000,2.58,0,3,10.47,2,35,0,2,9000,,,,,,,
PHASE_2.5_2966,2017,2015 Toyota Prius Plug-in,,,,75000,2.67,0,3,15.3,1,35,0,1,14285.71429,,,,,,,
PHASE_2.5_2967,2017,2016 BMW i3,1,0,1,175000,2.68,1,3,10.48,2,55,0,2,10000,,,,,,,
PHASE_2.5_2968,2017,2017 Chevrolet Volt,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2969,2017,2016 Volkswagen e-Golf,0,0,0,225000,-3,1,4,13.63,4,35,0,2,10100,,,,,,,
PHASE_2.5_2970,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2971,2017,2016 Tesla Model S,1,0,0,500000,1.4,1,4,19.18,4,45,0,2,11059.2,,,,,,,
PHASE_2.5_2972,2017,2016 Tesla Model X,0,1,0,225000,2.87,1,3,7.81,3,55,0,2,15230.76923,,,,,,,
PHASE_2.5_2973,2017,2016 Tesla Model X,0,0,1,225000,2.86,1,3,18.2,4,35,0,2,18280,,,,,,,
PHASE_2.5_2974,,2016 BMW i3,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2975,2017,2016 Volkswagen e-Golf,0,1,0,500000,0,1,3,2.03,2,35,1,3,2675,,,,,,,
PHASE_2.5_2976,2017,2016 BMW i3,0,0,0,275000,2.73,0,3,32.42,3,45,0,2,10750,,,,,,,
PHASE_2.5_2977,,2016 BMW i3,0,0,0,,,,,,4,55,0,4,,,,,,,,
PHASE_2.5_2978,2017,2015 Toyota Prius Plug-in,0,0,0,175000,1.96,1,4,11.08,2,65,0,3,9204.521739,,,,,,,
PHASE_2.5_2979,2017,2016 Tesla Model S,1,0,0,275000,2.76,1,4,39.93,3,45,1,2,17238,,,,,,,
PHASE_2.5_2980,2017,2016 Hyundai Sonata Plug-in Hybrid,0,0,0,125000,2.78,1,3,1.11,2,45,0,2,12600,,,,,,,
PHASE_2.5_2981,2017,2016 Volkswagen e-Golf,0,0,0,125000,1.75,0,3,5.11,3,45,0,2,7000,,,,,,,
PHASE_2.5_2982,2017,2016 Volkswagen e-Golf,,,,275000,1.45,1,4,33.27,2,35,0,2,15705.23077,,,,,,,
PHASE_2.5_2983,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2984,2017,2014 Toyota Prius Plug-in,0,0,1,75000,2.67,1,3,8.07,2,45,1,1,14526.31579,,,,,,,
PHASE_2.5_2985,2017,2015 Toyota Prius Plug-in,0,0,0,75000,0,0,4,0.71,1,25,1,1,15000,,,,,,,
PHASE_2.5_2986,,2015 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2987,2017,2016 Volkswagen e-Golf,0,0,0,125000,2.74,1,3,13.42,4,45,0,3,9190.153846,,,,,,,
PHASE_2.5_2988,2017,2015 Toyota Prius Plug-in,0,0,1,500000,-3,1,3,10.03,4,45,0,3,14400,,,,,,,
PHASE_2.5_2989,2017,2012 Toyota Prius Plug-in,0,0,0,225000,2.79,1,4,15.02,5,55,1,5,17419.35484,,,,,,,
PHASE_2.5_2990,,2016 BMW i3,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2991,2017,2015 Toyota Prius Plug-in,0,0,1,75000,2.89,1,3,2.86,2,75,0,3,6923.076923,,,,,,,
PHASE_2.5_2992,2017,2016 Volkswagen e-Golf,0,0,0,125000,2.61,0,4,17.42,4,35,0,2,10100,,,,,,,
PHASE_2.5_2993,,2015 Chevrolet Volt,1,0,0,,,,,,,,,3,,,,,,,,
PHASE_2.5_2994,2017,2017 Chevrolet Volt,0,0,0,125000,2.79,1,4,21,2,45,1,2,12000,,,,,,,
PHASE_2.5_2995,2017,2012 Toyota Prius Plug-in,0,0,0,,,1,3,3.4,3,55,0,3,16367.21311,,,,,,,
PHASE_2.5_2996,,2015 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2997,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2998,2017,2017 Tesla Model S,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_2999,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3000,,2016 Tesla Model X,0,0,0,,,,,,7,35,0,3,,,,,,,,
PHASE_2.5_3001,2017,2016 Nissan Leaf,0,0,0,125000,2.84,1,4,6.57,2,65,0,3,3750,,,,,,,
PHASE_2.5_3002,2017,2016 Volvo XC90,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3003,2017,2017 Chevrolet Volt,,,,,2.8,0,4,71.99,3,35,1,3,12085.71429,,,,,,,
PHASE_2.5_3004,,2016 Tesla Model S,0,0,0,,,,,,1,65,0,2,,,,,,,,
PHASE_2.5_3005,2017,2015 Toyota Prius Plug-in,0,0,0,75000,0.41,0,3,1.66,2,25,1,2,8607.272727,,,,,,,
PHASE_2.5_3006,2017,2016 BMW i3,0,0,0,125000,2.7,0,3,21.87,2,35,0,2,6461.538462,,,,,,,
PHASE_2.5_3007,,2016 Tesla Model X,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3008,2017,2016 Mercedes-Benz B-Class Electric Drive,0,1,0,175000,1.84,1,3,19.76,4,55,0,4,11076.92308,,,,,,,
PHASE_2.5_3009,2017,2016 Tesla Model X,0,0,0,225000,2.63,1,3,1.79,3,35,0,2,8765,,,,,,,
PHASE_2.5_3010,2017,2016 Tesla Model X,0,1,0,75000,2.68,1,4,3.46,5,55,0,3,15000,,,,,,,
PHASE_2.5_3011,2017,2017 Tesla Model X,0,1,0,275000,2.79,1,3,25.56,4,35,1,4,13800,,,,,,,
PHASE_2.5_3012,2017,2016 Volkswagen e-Golf,0,0,0,175000,1.46,0,4,14.4,2,25,0,2,10200,,,,,,,
PHASE_2.5_3013,2017,2016 Volkswagen e-Golf,0,0,0,425000,2.66,1,4,28.7,4,35,1,3,14571.42857,,,,,,,
PHASE_2.5_3014,2017,2016 Volkswagen e-Golf,0,0,1,275000,2.6,1,4,7.55,6,45,0,2,8509.090909,,,,,,,
PHASE_2.5_3015,2017,2016 Tesla Model X,0,0,0,,2.62,1,4,10.47,5,35,0,2,16000,,,,,,,
PHASE_2.5_3016,,2016 Tesla Model X,0,0,0,,2.65,,,18.71,3,55,0,3,,,,,,,,
PHASE_2.5_3017,,2014 Audi Etron,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3018,2017,2016 Tesla Model X,0,0,1,275000,2.88,1,3,53.85,5,35,0,2,20307.69231,,,,,,,
PHASE_2.5_3019,2017,2016 Hyundai Sonata Plug-in Hybrid,0,0,0,125000,2.76,1,3,20.14,2,35,0,2,25090.90909,,,,,,,
PHASE_2.5_3020,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3021,2017,2016 Nissan Leaf,0,1,0,,2.64,1,4,,3,55,1,3,6857.142857,,,,,,,
PHASE_2.5_3022,,2016 Tesla Model X,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3023,2017,2016 Tesla Model X,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3024,2017,2015 Toyota Prius Plug-in,0,0,0,75000,1.55,1,2,20.14,2,65,0,2,6000,,,,,,,
PHASE_2.5_3025,2017,2016 Hyundai Sonata Plug-in Hybrid,0,0,1,125000,2.4,1,4,14.63,3,35,1,2,14754,,,,,,,
PHASE_2.5_3026,2017,2016 Volkswagen e-Golf,0,0,0,225000,0.77,0,4,7.5,3,35,0,2,4300,,,,,,,
PHASE_2.5_3027,,2015 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3028,2017,2016 Tesla Model X,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3029,2017,2016 Tesla Model X,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3030,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3031,2017,2016 Audi A3 Sportback e-tron,0,0,0,275000,,1,3,6.15,4,45,0,5,7600,,,,,,,
PHASE_2.5_3032,2017,2017 Tesla Model X,0,1,0,275000,0.68,1,4,31.64,7,35,0,3,20000,,,,,,,
PHASE_2.5_3033,2017,2016 Volkswagen e-Golf,0,0,0,75000,2.53,1,4,0.01,1,45,1,2,9528,,,,,,,
PHASE_2.5_3034,2017,2016 BMW i3,0,0,0,75000,2.6,1,,3.48,1,25,0,1,10200,,,,,,,
PHASE_2.5_3035,,2016 Volkswagen e-Golf,0,0,0,,,,,18.43,3,35,1,4,,,,,,,,
PHASE_2.5_3036,,2016 Volkswagen e-Golf,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3037,2017,2016 Tesla Model X,0,1,0,500000,2.17,1,4,,5,55,0,4,17772,,,,,,,
PHASE_2.5_3038,2017,2016 Chevrolet Spark EV,1,0,0,175000,2.59,0,4,1.29,2,35,1,2,3750,,,,,,,
PHASE_2.5_3040,2017,2016 Tesla Model X,0,1,0,225000,2.69,1,3,43.97,2,35,0,2,8640,,,,,,,
PHASE_2.5_3041,2017,2016 BMW i3,0,0,0,225000,0.68,1,2,18.74,4,45,0,2,10909.09091,,,,,,,
PHASE_2.5_3042,,2016 Volkswagen e-Golf,0,0,0,,,,,,2,35,1,1,,,,,,,,
PHASE_2.5_3043,2017,2016 BMW i3,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3044,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3045,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3046,2017,2016 Volkswagen e-Golf,0,0,0,325000,2.64,1,4,19.62,3,45,0,2,7636.363636,,,,,,,
PHASE_2.5_3047,,2016 BMW i3,0,0,0,,,,,52.99,4,55,0,5,,,,,,,,
PHASE_2.5_3048,2017,2016 BMW i3,0,1,0,225000,2.62,1,4,16.96,4,45,1,4,15125.45455,,,,,,,
PHASE_2.5_3049,2017,2016 Nissan Leaf,0,0,0,125000,1.95,0,4,13.32,4,35,0,2,8142.857143,,,,,,,
PHASE_2.5_3050,2017,2016 Volkswagen e-Golf,0,0,0,175000,2.59,,3,16.59,5,25,0,3,7600,,,,,,,
PHASE_2.5_3051,2017,2016 Ford C-Max Energi,0,0,0,,0.87,1,4,,2,55,0,2,4800,,,,,,,
PHASE_2.5_3053,2017,2016 BMW i3,1,0,0,125000,1.48,1,3,41.1,1,35,0,1,11215.38462,,,,,,,
PHASE_2.5_3054,2017,2016 BMW i3,0,0,0,475000,2.62,1,4,30.53,3,45,0,3,8000,,,,,,,
PHASE_2.5_3055,2017,2016 BMW i3,0,0,0,,1.7,1,4,9.35,4,55,0,2,9500,,,,,,,
PHASE_2.5_3056,2017,2016 smart fortwo,0,1,0,125000,2.76,1,1,0.34,1,65,0,2,6327.272727,,,,,,,
PHASE_2.5_3057,,,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3058,2017,2016 Volkswagen e-Golf,0,0,0,75000,2.82,1,4,37.3,3,55,0,2,11236.36364,,,,,,,
PHASE_2.5_3059,2017,2016 Volkswagen e-Golf,0,0,0,75000,0,1,3,4.3,4,55,0,5,12436,,,,,,,
PHASE_2.5_3068,2017,2016 Volkswagen e-Golf,0,0,0,,2.59,1,2,7.83,2,45,0,2,3272.727273,,,,,,,
PHASE_2.5_3061,2017,2016 BMW i3,0,0,0,75000,2.44,0,2,16.66,1,55,0,1,9272.727273,,,,,,,
PHASE_2.5_3062,2017,2016 BMW i3,0,0,0,125000,2.71,0,4,2.46,3,35,0,2,8500,,,,,,,
PHASE_2.5_3063,2017,2015 Toyota Prius Plug-in,0,0,0,75000,-1.99,0,4,18.56,2,35,1,2,228571.4286,,,,,,,
PHASE_2.5_3064,2017,2016 BMW i3,0,0,1,75000,2.58,1,4,4.02,2,65,1,3,10254.54545,,,,,,,
PHASE_2.5_3065,2017,2017 Chevrolet Volt,1,0,1,75000,0.18,1,4,68.23,2,75,0,3,7970,,,,,,,
PHASE_2.5_3066,2017,2016 Tesla Model X,0,1,1,500000,2.79,1,3,5.85,4,55,0,3,9000,,,,,,,
PHASE_2.5_3067,2017,2016 BMW i3,0,0,0,175000,2.68,1,2,7.25,2,75,0,2,6000,,,,,,,
PHASE_2.5_3069,2017,2016 Volkswagen e-Golf,0,0,0,275000,0.57,1,3,26.5,3,55,1,5,10690.90909,,,,,,,
PHASE_2.5_3070,2017,2017 Chevrolet Volt,1,0,0,125000,2.6,1,3,20.96,3,35,0,2,13302.54545,,,,,,,
PHASE_2.5_3071,2017,2016 BMW i3,0,1,1,275000,2.79,1,3,34.68,4,45,1,3,10800,,,,,,,
PHASE_2.5_3072,,2014 Toyota Prius Plug-in,,,,,,,,,,,,2,,,,,,,,
PHASE_2.5_3073,2017,2016 Audi A3 Sportback e-tron,0,0,0,500000,2.59,1,3,18.19,3,45,1,2,7448,,,,,,,
PHASE_2.5_3074,2017,2016 BMW i3,0,0,1,225000,2.6,1,2,12.28,4,35,0,2,9230.769231,,,,,,,
PHASE_2.5_3075,2017,2013 Tesla Model S,0,0,0,500000,2.69,1,4,11.88,2,75,0,2,12109.09091,,,,,,,
PHASE_2.5_3076,,2016 Volkswagen e-Golf,0,0,0,,,,,,4,35,,2,,,,,,,,
PHASE_2.5_3077,,2016 Volkswagen e-Golf,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3078,2017,2016 Volkswagen e-Golf,0,0,0,225000,-0.7,1,3,23.16,4,45,0,2,10000,,,,,,,
PHASE_2.5_3079,2017,2016 Volkswagen e-Golf,0,0,0,225000,1.95,1,3,12.46,4,35,0,2,11880,,,,,,,
PHASE_2.5_3080,2017,2016 Audi A3 Sportback e-tron,0,1,0,75000,2.73,0,3,17,1,35,0,1,11280,,,,,,,
PHASE_2.5_3081,2017,2016 Tesla Model X,0,1,0,125000,2.59,1,3,4.57,4,35,0,3,15000,,,,,,,
PHASE_2.5_3082,2017,2016 Tesla Model X,0,0,0,75000,2.27,1,3,9.81,2,55,0,1,17652,,,,,,,
PHASE_2.5_3083,,2017 Tesla Model X,0,0,0,,,,,22.67,4,35,0,2,,,,,,,,
PHASE_2.5_3084,2017,2017 Toyota Prius Prime,0,0,0,75000,1.46,0,3,49.37,2,65,0,1,19920,,,,,,,
PHASE_2.5_3085,2017,2016 Tesla Model X,0,0,1,375000,2.6,1,4,34.15,3,45,0,2,24000,,,,,,,
PHASE_2.5_3086,2017,2016 Tesla Model X,0,0,0,225000,0,1,4,2.21,4,45,0,2,16125,,,,,,,
PHASE_2.5_3087,2017,2016 Volkswagen e-Golf,0,0,0,175000,2.78,0,4,17.59,1,25,1,2,11000,,,,,,,
PHASE_2.5_3088,2017,2016 Hyundai Sonata Plug-in Hybrid,0,0,1,75000,2.65,1,4,10,2,55,0,2,10266.66667,,,,,,,
PHASE_2.5_3089,2017,2016 Mercedes-Benz B250e,0,1,0,375000,2.73,1,4,16.13,4,45,0,2,13000,,,,,,,
PHASE_2.5_3090,2017,2017 Volkswagen E-Golf,,,,325000,-2.33,0,3,28.87,2,35,0,2,10009.33333,,,,,,,
PHASE_2.5_3091,2017,2016 Volkswagen e-Golf,0,0,0,175000,2.47,1,3,22.98,2,55,0,2,16363.63636,,,,,,,
PHASE_2.5_3092,2017,2016 BMW i3,0,0,1,50000,0,0,4,6,4,55,0,3,8355.272727,,,,,,,
PHASE_2.5_3093,2017,2017 Tesla Model X,0,0,0,275000,1.32,0,4,26.89,3,35,0,1,14422,,,,,,,
PHASE_2.5_3094,2017,2016 Tesla Model X,1,0,1,75000,-1.45,1,2,8.44,2,25,0,5,18001.2,,,,,,,
PHASE_2.5_3095,2017,2017 Ford Focus,1,1,0,275000,0.9,1,4,18.76,4,45,0,2,6600,,,,,,,
PHASE_2.5_3096,2017,2016 Tesla Model X,0,1,0,375000,,1,1,9.31,3,65,0,2,11333.33333,,,,,,,
PHASE_2.5_3097,2017,2016 Hyundai Sonata Plug-in Hybrid,0,0,1,125000,1.32,1,3,17.83,1,65,1,1,12754.66667,,,,,,,
PHASE_2.5_3098,2017,2016 Tesla Model X,1,0,0,275000,0,1,4,12.41,4,35,0,3,15272.72727,,,,,,,
PHASE_2.5_3099,2017,2016 Tesla Model X,1,1,0,275000,,1,3,2.81,4,65,0,4,4400,,,,,,,
PHASE_2.5_3100,2017,2016 Volkswagen e-Golf,0,0,0,275000,1.41,1,4,16.72,4,45,1,2,7650,,,,,,,
PHASE_2.5_3101,2017,2016 BMW i3,0,0,0,175000,-0.25,1,4,5.08,3,45,1,3,7227.6,,,,,,,
PHASE_2.5_3102,2017,2017 FIAT 500e,0,1,0,275000,2.67,1,3,8.4,6,35,0,4,6978,,,,,,,
PHASE_2.5_3103,2017,2016 BMW i3,0,0,0,75000,,1,4,9.72,3,35,0,2,12049.09091,,,,,,,
PHASE_2.5_3104,2017,2016 Volvo XC90,0,1,0,175000,0,1,3,17.28,4,55,0,2,6352.941176,,,,,,,
PHASE_2.5_3105,,2014 Chevrolet Volt,0,1,0,,,,,12.49,3,,,3,,,,,,,,
PHASE_2.5_3106,,2016 Hyundai Sonata Plug-in Hybrid,0,0,0,,,,,,2,55,0,2,,,,,,,,
PHASE_2.5_3107,2017,2014 Toyota Prius Plug-in,0,0,1,225000,2.61,1,4,26.77,2,45,0,2,16027.05882,,,,,,,
PHASE_2.5_3108,2017,2016 Volkswagen e-Golf,0,0,0,225000,0,1,3,24.83,2,55,0,3,10714.28571,,,,,,,
PHASE_2.5_3109,2017,2016 Mercedes-Benz B-Class Electric Drive,0,0,0,225000,1.66,1,4,16.15,4,45,,2,78000,,,,,,,
PHASE_2.5_3110,2017,2016 Hyundai Sonata Plug-in Hybrid,0,0,1,50000,2.65,1,2,5.85,1,65,0,2,17968.36364,,,,,,,
PHASE_2.5_3111,2017,2017 Tesla Model X,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3112,2017,2016 BMW i3,0,0,0,175000,-1.12,,,1.33,3,,,2,5454.545455,,,,,,,
PHASE_2.5_3113,2017,2017 Tesla Model X,0,1,0,75000,1.4,1,4,0.43,2,35,0,3,8874,,,,,,,
PHASE_2.5_3114,2017,2016 Nissan Leaf,0,0,0,75000,2.82,0,4,29.01,3,35,1,2,16000,,,,,,,
PHASE_2.5_3115,2017,2016 Tesla Model X,,,,,,,,,,,,1,,,,,,,,
PHASE_2.5_3116,2017,2016 BMW i3,0,0,0,225000,2.84,0,4,14.13,4,45,0,2,7800,,,,,,,
PHASE_2.5_3117,2017,2016 Tesla Model X,0,0,0,225000,2.79,0,3,5.21,2,25,0,2,12000,,,,,,,
